Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_fd,cp_vs2,cp_vs1,cp_fs1,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cp_fs1_edges,cr_vs2_fs1_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_csr_fflags,cp_csr_frm,std_vec,cp_custom_vfp_state,cp_custom_vfncvt_rup_overflow,cp_custom_FpRecSqrtEst_flag_edges,cp_custom_FpRecipEst_flag_edges,cp_custom_FpRecSqrtEst_edges,cp_custom_FpRecipEst_edges,cp_custom_vfp_NaN_input,cp_custom_vfclass_onehot,cp_custom_vfncvt_rod_overflow,cp_custom_vfredosum_ordered_sum,cp_custom_vfredosum_NAN_vl0,cp_custom_fmv_sf_vd_all_lmul,cp_custom_fmv_fs_vs2_all_lmul,cp_custom_vfp_flags_set,cp_custom_vfp_flags,cp_custom_vfp_flags_inactive_not_set,cp_custom
vfmv.v.f,FVF,x,x,,x,x,x,x,x,,,,x,,,,,,,,v,,,x,nomask,x,,,x,,,,,,,,,,,,,,,,,
vfmv.f.s,FFV,x,x,,x,x,x,x,,x,x,,,,,,,f,,,,,,x,nomask,x,,,x,x,,,,,,x,,,,,,x,,,,
vfmv.s.f,FVF,x,x,,x,x,x,x,x,,,,x,,,,,,,,v,,,x,nomask,x,,,x,,,,,,,,,,,,x,,,,,
vfslide1up.vf,FVVF,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,
vfslide1down.vf,FVVF,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,
vfcvt.xu.f.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwcvt.xu.f.v,FVV,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfncvt.xu.f.w,FVV,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,shift_wi
vfcvt.x.f.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwcvt.x.f.v,FVV,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfncvt.x.f.w,FVV,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,shift_wi
vfcvt.rtz.xu.f.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwcvt.rtz.xu.f.v,FVV,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,,x,,,,,,,x,,,,,,,x,nv_nx,,
vfncvt.rtz.xu.f.w,FVV,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,,x,,,,,,,x,,,,,,,x,nv_nx,,shift_wi
vfcvt.rtz.x.f.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwcvt.rtz.x.f.v,FVV,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,,x,,,,,,,x,,,,,,,x,nv_nx,,
vfncvt.rtz.x.f.w,FVV,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,,x,,,,,,,x,,,,,,,x,nv_nx,,shift_wi
vfcvt.f.xu.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,n,v,x,,,,,,,x,,,,,,,,nx,,
vfwcvt.f.xu.v,FVV,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,,,x,,,,,,,x,,,,,,,,,,
vfncvt.f.xu.w,FVV,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,n,v,x,,,,,,,x,,,,,,,,nx,,shift_wi
vfcvt.f.x.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,n,v,x,,,,,,,x,,,,,,,,nx,,
vfwcvt.f.x.v,FVV,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,,,x,,,,,,,x,,,,,,,,,,
vfncvt.f.x.w,FVV,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,n,v,x,,,,,,,x,,,,,,,,nx,,shift_wi
vfwcvt.f.f.v,FVV,x,x,,x,,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vfncvt.f.f.w,FVV,x,x,,,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,voun,v,x,,x,,,,,x,,,,,,,x,nv_nx,,shift_wi
vfncvt.rod.f.f.w,FVV,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,voun,,x,,x,,,,,x,,x,,,,,x,nv_nx,,shift_wi
vfclass.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,,,x,,,,,,,x,x,,,,,,,,,
