Instruction,Type,RV32,RV64,cp_misalignv_ls_element_misaligned,cp_misalignv_ls_wholereg_misaligned
vssseg8e32.v,VSSSEG,x,x,x,
vssseg8e64.v,VSSSEG,x,x,x,
vssseg8e8.v,VSSSEG,x,x,x,
vsuxei16.v,VSUX,x,x,x,
vsuxei32.v,VSUX,x,x,x,
vsuxei64.v,VSUX,x,x,x,
vsuxei8.v,VSUX,x,x,x,
vsuxseg2ei16.v,VSUXSEG,x,x,x,
vsuxseg2ei32.v,VSUXSEG,x,x,x,
vsuxseg2ei64.v,VSUXSEG,x,x,x,
vsuxseg2ei8.v,VSUXSEG,x,x,x,
vsuxseg3ei16.v,VSUXSEG,x,x,x,
vsuxseg3ei32.v,VSUXSEG,x,x,x,
vsuxseg3ei64.v,VSUXSEG,x,x,x,
vsuxseg3ei8.v,VSUXSEG,x,x,x,
vsuxseg4ei16.v,VSUXSEG,x,x,x,
vsuxseg4ei32.v,VSUXSEG,x,x,x,
vsuxseg4ei64.v,VSUXSEG,x,x,x,
vsuxseg4ei8.v,VSUXSEG,x,x,x,
vsuxseg5ei16.v,VSUXSEG,x,x,x,
vsuxseg5ei32.v,VSUXSEG,x,x,x,
vsuxseg5ei64.v,VSUXSEG,x,x,x,
vsuxseg5ei8.v,VSUXSEG,x,x,x,
vsuxseg6ei16.v,VSUXSEG,x,x,x,
vsuxseg6ei32.v,VSUXSEG,x,x,x,
vsuxseg6ei64.v,VSUXSEG,x,x,x,
vsuxseg6ei8.v,VSUXSEG,x,x,x,
vsuxseg7ei16.v,VSUXSEG,x,x,x,
vsuxseg7ei32.v,VSUXSEG,x,x,x,
vsuxseg7ei64.v,VSUXSEG,x,x,x,
vsuxseg7ei8.v,VSUXSEG,x,x,x,
vsuxseg8ei16.v,VSUXSEG,x,x,x,
vsuxseg8ei32.v,VSUXSEG,x,x,x,
vsuxseg8ei64.v,VSUXSEG,x,x,x,
vsuxseg8ei8.v,VSUXSEG,x,x,x,
